Reference, Quantity, Value, Footprint, Datasheet, Description, Manufacturer, Part Number, Price[1k], Supplier Link, Label, Alternatives
A2 A1 ,2,U.FL,LoRa_PCIe_GW:U.FL-R-SMT_Hirose,,"U.FL (UMCC) Connector Receptacle, Male Pin 50Ohm Surface Mount Solder",Hirose,U.FL-R-SMT-1(80),0.65,https://www.digikey.com/en/products/detail/hirose-electric-co-ltd/U-FL-R-SMT-1-80/3978495,GPS,
C101 C111 C112 C104 C202 C201 C200 C226 C816 C916 ,10,1uF,LoRa_PCIe_GW:ccer_402_smd_small,,1µF ±20% 10V Ceramic Capacitor X5R 0402 (1005 Metric),Murata,GRM153R61A105ME95D,0.038,https://www.digikey.com/en/products/detail/murata-electronics/GRM153R61A105ME95D/4904820,,
C108 C107 C105 C102 C110 C109 C103 C106 C100 C600 C602 C838 C311 C306 C302 ,15,100nF,LoRa_PCIe_GW:ccer_201_smd_small,,0.1µF ±10% 16V Ceramic Capacitor X7S 0201 (0603 Metric),Murata,GRM033C71C104KE14D,0.01,https://www.digikey.com/en/products/detail/murata-electronics/GRM033C71C104KE14D/5027472,,
C203 ,1,10uF,LoRa_PCIe_GW:ccer_603_smd_small,,10µF ±10% 16V Ceramic Capacitor X5R 0603 (1608 Metric),Murata,GRM188R61C106KAAL,0.1,https://www.digikey.com/en/products/detail/murata-electronics/GRM188R61C106KAALJ/4905339,,
C204 C822 ,2,4.7uF,LoRa_PCIe_GW:ccer_603_smd_small,,4.7µF ±10% 16V Ceramic Capacitor X5R 0603 (1608 Metric),Murata,GRM188R61C475KAAJD,0.089,https://www.digikey.com/en/products/detail/murata-electronics/GRM188R61C475KAAJD/5027566,,
C224 ,1,4.7uF,LoRa_PCIe_GW:ccer_402_smd_small,,4.7µF ±20% 6.3V Ceramic Capacitor X5R 0402 (1005 Metric),Murata,GRM155R60J475ME47D,0.089,https://www.digikey.com/en/products/detail/murata-electronics/GRM155R60J475ME47D/3694656,,
C231 ,1,22pF,LoRa_PCIe_GW:ccer_201_smd_small,,"22PF ±1% 50V Ceramic Capacitor C0G, NP0 0201 (0603 Metric)",Murata,GRM0335C1H220FA01D,0.01,https://www.digikey.com/en/products/detail/murata-electronics/GRM0335C1H220FA01D/11618542,,
C304 C303 ,2,12pF,LoRa_PCIe_GW:rlc_201_smd_small,,"12 pF ±5% 25V Ceramic Capacitor C0G, NP0 0201 (0603 Metric)",Murata,GRM0335C1E120JA01D,0.0027,https://www.digikey.com/en/products/detail/murata-electronics/GRM0335C1E120JA01D/702410,,
C307 C301 C310 ,3,1uF,LoRa_PCIe_GW:rlc_402_smd_small,,1µF ±20% 10V Ceramic Capacitor X5R 0402 (1005 Metric),Murata,GRM153R61A105ME95D,0.038,https://www.digikey.com/en/products/detail/murata-electronics/GRM153R61A105ME95D/4904820,,
C308 C206 C215 ,3,47uF,LoRa_PCIe_GW:ccer_603_smd_small,,"Multilayer ceramic capacitors X5R ±20%, 6.3V",Murata,GRM188R60J476ME15D,0.1,https://www.digikey.com/en/products/detail/murata-electronics/GRM188R61C106KAALJ/4905339,,
